first_name,last_name,date_of_birth,fee,joined_on,matriculation
Felike,Powley,1999-11-02,$2094.48,2012-01-23,false
Jacynth,Gunter,2001-10-11,$3022.71,2022-06-30,false
Eustace,Bannell,2000-03-10,$1177.37,2011-10-30,true
Leigh,Colliford,1999-05-10,$2583.07,2020-03-27,false
Netti,Oxborrow,2000-09-12,$1325.90,2017-01-26,false
Dael,Filon,1999-02-05,$3445.93,2012-02-14,true
Cynthie,Monnoyer,1999-04-01,$2322.13,2011-07-15,true
Adriaens,Sidwick,1998-11-08,$2626.91,2011-05-01,false
Idette,Martinek,2000-11-25,$2250.78,2010-11-02,false
Caren,Lannon,2001-08-01,$2916.05,2008-07-02,false
Tomkin,Beade,1998-08-18,$2521.40,2011-02-20,true
Raf,Giacomuzzo,1999-08-16,$1672.94,2013-11-02,true
Aloise,Lamont,2001-01-19,$2389.62,2014-03-22,true
Vickie,Kneeshaw,1999-09-25,$3708.51,2020-09-18,true
Noby,Aldersley,2000-05-25,$3369.30,2017-05-30,false
Amalia,Knighton,2001-09-21,$2116.39,2016-06-20,false
Sawyer,Pottinger,2000-07-06,$783.08,2007-06-05,false
Hardy,Biaggioni,2001-11-16,$2674.58,2015-11-06,true
Phillie,Turnbull,1999-10-25,$1941.00,2020-09-12,false
Cobby,Oddie,2000-11-28,$1694.30,2019-06-02,false
Nissie,Yole,2001-01-04,$3521.39,2011-10-13,false
Hilarius,Lissett,2001-01-10,$2681.54,2022-03-09,false
Perren,Cloughton,1998-03-16,$1261.33,2002-08-27,false
Bertrand,Daveridge,1999-12-01,$1396.12,2009-01-24,true
Mikaela,MacCauley,1998-07-08,$2967.63,2008-10-09,false
Beryle,Crippes,2002-02-14,$2637.51,2018-08-18,false
Brynn,Bernlin,1999-06-18,$3869.80,2011-01-18,false
Colette,Rediers,2001-08-06,$2123.03,2016-03-29,false
Darrick,Willman,1999-05-21,$641.67,2022-08-05,false
Lucias,Bordis,1998-09-29,$3552.56,2014-05-14,false
Jeddy,Napton,1998-12-21,$1036.17,2002-12-25,false
Sherman,Denkin,1999-11-22,$1347.95,2014-06-21,true
Barbie,Yarker,2001-09-14,$1749.08,2002-11-08,true
Keith,Lescop,2000-05-24,$1585.39,2014-07-22,true
Wendeline,Norridge,2000-12-29,$1305.40,2003-10-14,true
Edouard,Riveles,1998-04-19,$1927.75,2002-11-25,false
Emlynn,Dormon,2000-04-18,$1596.61,2010-01-29,false
Derick,Allchorne,2000-08-01,$1925.54,2013-08-09,false
Kelly,McGaffey,1998-08-28,$2274.83,2012-04-03,false
Doloritas,Fearnill,1998-12-21,$664.46,2004-07-22,true
Austen,Pover,2000-03-25,$3849.00,2007-12-30,false
Pyotr,Asey,2000-03-07,$1572.71,2022-04-28,true
Trudy,Ferroni,1999-07-05,$2976.12,2007-09-28,false
Gerrie,Esherwood,1998-05-12,$1427.26,2017-02-04,false
Clevie,Seyfart,2001-12-06,$2834.77,2012-11-08,false
Misha,Blissitt,2001-02-26,$3580.45,2013-09-16,true
Karyn,Rabley,2000-08-16,$2681.94,2003-02-18,false
Liesa,Kippling,1999-10-10,$3606.87,2019-03-29,true
Letty,Reynoollds,2000-07-02,$1520.02,2017-03-19,false
Verna,Shorten,2001-05-02,$1510.43,2003-05-24,true
Tilly,Christofol,2001-07-09,$3238.86,2020-09-12,false
Trista,Erridge,1998-06-02,$2033.76,2002-07-01,true
Etan,Antonchik,2000-12-10,$2565.38,2013-09-27,true
Clarabelle,Donaghie,1999-09-13,$1848.09,2002-07-01,true
Lodovico,Nickerson,1998-09-21,$3265.69,2007-10-15,true
Selig,Mangeney,2000-02-16,$1105.83,2006-10-13,true
Rhodia,Reiner,2000-01-08,$1034.09,2015-03-17,true
Thorstein,Kellaway,2001-02-16,$3237.67,2006-06-11,false
Colan,Tewkesbury,2002-01-02,$2226.82,2003-06-02,true
Lia,Sansome,2002-01-08,$3190.36,2013-10-12,false
Cris,Hulk,2000-12-06,$1866.59,2012-12-29,true
Gunther,Hush,1998-12-18,$3299.31,2020-03-14,true
Griselda,Cullotey,1998-12-17,$3578.90,2007-01-19,true
Christalle,Waskett,1998-04-17,$1788.66,2016-08-25,false
Kenyon,Jacomb,1998-04-15,$2450.82,2012-06-09,false
Lindy,Vevers,1999-04-11,$1477.70,2014-09-27,false
Liza,Satterthwaite,1998-07-12,$3588.26,2010-02-10,true
Marney,Insull,1999-06-29,$908.64,2003-12-23,false
Arman,MacRedmond,2001-04-10,$2193.89,2007-05-29,false
Garth,Francesc,2001-01-27,$928.74,2020-08-28,true
Analise,Matoshin,2002-03-07,$3253.51,2015-01-09,true
Kain,Lacroux,2002-01-04,$1972.31,2015-11-18,false
Andie,Matyja,1999-11-06,$1539.02,2004-07-02,true
Linc,Whistlecraft,2001-12-21,$2987.30,2016-12-23,true
Dannie,Canaan,1998-04-28,$1339.61,2019-10-15,false
Wilhelmine,Regorz,1999-10-28,$3529.01,2002-06-29,true
Tucky,Alpes,2000-04-12,$3003.40,2022-10-21,false
Renaud,Cattonnet,1999-09-01,$3147.97,2019-03-31,false
Gabbie,Chance,1998-06-29,$3768.50,2012-02-25,false
Parke,Wakeling,1999-03-01,$2203.13,2012-03-16,true
Fae,Kennon,1998-08-19,$3111.73,2017-11-14,true
Beilul,Lawles,2002-01-03,$2837.83,2005-01-31,true
Ned,Loidl,1999-02-15,$3399.49,2005-12-28,true
Monro,McVeigh,2001-12-16,$2636.38,2012-05-26,false
Joe,Rabidge,2000-03-20,$3570.56,2020-11-03,false
Darla,McKeowon,2001-03-04,$3461.55,2003-05-10,false
Heddie,Stockoe,2000-12-10,$1410.35,2011-02-20,false
Emmit,Killshaw,2000-08-13,$3132.59,2008-08-02,false
Lura,Piller,2000-08-15,$3617.17,2014-10-24,true
Kore,Toffoletto,2001-12-09,$1067.50,2006-07-09,false
Francesca,Keesman,2000-04-06,$1129.03,2011-02-13,true
Eduardo,Cuer,1999-08-28,$1105.11,2020-08-22,false
Madlen,Greet,1998-03-21,$3511.16,2020-09-21,false
Clim,Puckinghorne,1999-07-03,$2983.38,2015-04-14,false
Roberto,Timlett,2000-08-08,$1473.78,2011-04-01,false
Christoffer,Alcido,2001-05-07,$3501.47,2003-02-27,true
Judye,Bugbird,2001-10-01,$956.64,2015-10-03,false
Nelia,Pellamonuten,1999-07-14,$2401.95,2003-01-26,true
Thekla,Kynder,2001-12-02,$3808.20,2004-07-10,false
Chantalle,Isitt,1998-12-08,$1254.44,2009-06-25,true
Gino,Aikman,2000-08-31,$3244.92,2008-07-08,true
Yolanthe,Quantrill,2000-03-12,$3002.22,2010-05-28,false
Mathew,Duddridge,2000-03-31,$1993.81,2003-01-24,true
Gregorio,Garthland,2000-05-26,$3303.75,2022-08-04,false
Shane,Crippill,2001-08-24,$1494.54,2008-08-11,true
Pamelina,Rain,2001-08-18,$1810.44,2017-11-17,true
Lillis,Brower,2000-12-26,$3720.93,2005-08-10,true
Florentia,Aronin,2000-08-16,$3881.22,2007-05-23,true
Valencia,Crisford,2000-01-02,$2788.65,2021-11-29,true
Giselle,McGeraghty,1998-09-13,$2587.80,2019-04-10,true
Roseann,Antoniutti,1999-03-28,$812.90,2017-04-12,false
Madelene,Jancso,2001-06-24,$2809.23,2021-02-19,false
Ase,MacAvaddy,2000-10-10,$2970.61,2011-03-28,false
Elyn,Buttery,2001-03-06,$1458.73,2007-04-21,false
Lucia,Haglinton,1999-09-17,$1908.26,2015-04-22,false
Seka,Fattore,2000-05-30,$3733.10,2011-10-14,false
Krisha,Kingsford,1999-05-24,$2911.75,2010-10-09,true
Munmro,Dyet,2001-07-13,$2002.48,2012-04-08,true
Brockie,Iacovone,1999-12-31,$1880.87,2019-03-27,true
Briney,Kehir,2001-01-01,$1433.65,2007-03-30,true
Simeon,Stothert,2001-10-24,$3585.06,2003-07-29,true
Dicky,Fullom,1999-08-26,$790.44,2011-10-28,true
Duff,Surgenor,1998-05-24,$1852.24,2017-09-06,false
Neils,Shellum,2000-09-06,$3316.47,2019-06-02,true
Maisey,Millard,1998-11-27,$3777.72,2016-02-11,false
Michaella,Laverick,1998-05-19,$1061.91,2022-02-20,true
Stevy,Pedycan,1999-12-17,$1156.86,2020-08-04,false
Rycca,Bazoge,1999-03-26,$2861.57,2002-06-15,false
Miguel,Ordemann,2000-02-28,$3098.51,2017-02-05,true
Danny,Brogioni,1999-03-24,$3011.37,2013-10-13,false
Clayton,Doy,2001-04-08,$655.84,2014-07-07,true
Yolanda,Sturm,2001-10-03,$2600.07,2008-03-02,false
Englebert,Welbeck,2001-08-08,$1985.58,2010-06-28,true
Mersey,Marre,1999-07-10,$759.13,2006-08-20,false
Webster,Skeldon,1998-04-28,$2301.97,2012-07-24,false
Reeta,Ackland,2000-07-28,$771.17,2022-04-09,false
Luce,Flatt,2000-10-27,$3237.03,2006-09-22,true
Babita,Byforth,1998-04-17,$1834.45,2008-11-04,false
Farra,Brewitt,2000-02-10,$1932.10,2002-03-21,false
Cheri,Kleinstern,2000-05-05,$2252.99,2003-08-31,false
Rachele,Vallerine,2000-07-30,$1272.56,2018-05-15,true
Constantin,Sighart,2000-07-19,$3549.06,2004-04-14,false
Raddy,Trusler,2001-05-17,$2275.85,2012-12-28,true
Earle,Sherer,2000-05-27,$2891.12,2022-03-18,true
Jeanne,Lillico,2001-10-18,$3449.78,2015-01-09,false
Dulcie,Clipston,2000-09-04,$3668.81,2006-06-04,true
Norma,Snepp,2001-10-08,$2502.20,2011-01-26,true
Greg,Carleton,2001-02-04,$562.14,2019-07-09,false
Leda,Treweek,1998-08-14,$549.89,2022-05-04,false
Layla,Sinton,1998-11-07,$1975.21,2009-03-12,false
Ave,Mattei,2001-04-26,$3967.80,2023-01-08,false
Renato,Fleg,1999-10-18,$3494.67,2010-04-25,true
Durant,O'Brallaghan,2001-05-20,$2970.40,2010-01-12,true
Wheeler,Cumine,1999-03-02,$1069.79,2003-12-18,true
Coraline,Bienvenu,1999-01-03,$635.61,2012-07-29,false
Abbott,Mathiot,2001-02-02,$3957.35,2012-03-02,false
Bucky,Gunby,1998-09-13,$609.71,2007-07-30,false
Pennie,Bollini,1999-01-19,$1477.69,2011-04-22,false
Chrissie,Wickendon,1999-04-23,$3004.15,2005-05-29,true
Arlyn,Bugs,2002-01-23,$1148.83,2022-10-25,true
Stesha,Cowderay,2001-07-04,$879.80,2003-04-17,false
George,Fairham,1999-07-07,$3978.84,2023-01-14,true
Elianore,Castard,1999-07-11,$2502.66,2002-11-23,false
Haze,Ludmann,2001-08-31,$1068.44,2007-12-13,false
Maximilianus,Glashby,2001-11-13,$3135.57,2021-12-03,true
Bowie,Sperry,2001-04-17,$3913.16,2007-04-29,true
Ethyl,Baber,2000-10-20,$2663.59,2010-01-25,false
Justus,Ganford,2000-11-22,$3096.37,2016-11-13,false
Warden,Barden,2000-11-29,$3233.19,2002-09-09,false
Julie,Axe,2000-09-16,$943.76,2009-12-07,false
Cordell,Boland,1998-10-18,$1443.85,2003-03-27,false
Daven,Beacon,2001-03-03,$1033.10,2009-04-06,true
Almire,Scanterbury,2001-04-23,$2805.53,2010-08-06,false
Giacomo,Taffee,1999-01-18,$1120.31,2008-10-17,false
Susy,Gheeorghie,2000-02-13,$2803.47,2014-11-22,true
Cortney,Paolicchi,2001-03-10,$547.86,2017-03-07,true
Rolland,Whittick,1998-09-10,$578.24,2016-07-24,false
Shoshana,Vasse,2001-02-24,$3612.06,2019-12-02,true
Ilka,Norwood,1999-02-14,$2704.37,2018-05-26,true
Colan,Sneyd,2000-09-25,$3826.25,2002-10-28,false
Reider,Rewcastle,1998-05-23,$2986.45,2018-02-17,true
Kasper,Shew,1999-07-30,$523.99,2019-02-12,true
Austin,Powys,1998-12-15,$2195.67,2006-03-14,false
